What is the purpose of RAM in a computer?,To provide temporary storage for data and programs,To store the operating system permanently,To manage internet connectivity,To control input and output devices,1
What is an operating system?,Software that manages computer hardware and software resources,A type of computer virus,A physical component inside the computer,A programming language,1
What does URL stand for?,Uniform Resource Locator,Universal Resource Link,Uniform Retrieval Link,Universal Retrieval Locator,1
What is the function of a computer's hard drive?,To store and retrieve digital data,To control the computer's processing speed,To display images on the monitor,To connect to the internet,1
What is a computer virus?,A malicious program that can replicate itself and infect a computer,A hardware component in a computer,A type of programming language,A device used for inputting data,1
What is a mouse used for in computing?,To provide input by moving a cursor on a screen,To connect to the internet,To store files permanently,To generate electricity for the computer,1
What does GUI stand for?,Graphical User Interface,General User Interface,Graphics Unit Interface,Graphical Unit Integration,1
What is a computer network?,A group of interconnected computers that communicate and share resources,A single computer system,A type of computer virus,A software application,1
What is the function of a computer's motherboard?,To connect and manage all other components in the computer,To provide temporary storage for data,To control the display on the monitor,To manage internet connectivity,1
What is the purpose of a firewall in computer security?,To prevent unauthorized access to a computer or network,To increase the speed of internet connectivity,To store and retrieve digital data,To control the computer's processing speed,1
What is the difference between software and hardware?,Software is a set of instructions that run on hardware,Hardware is a type of computer virus,Software is a physical component inside the computer,Hardware is a programming language,1
What is a browser in the context of computer software?,A software application used to access the internet,A type of computer virus,A hardware component in a computer,A programming language,1
What is the purpose of a computer's graphics card?,To render and display images on the monitor,To store and retrieve digital data,To connect to the internet,To control the computer's processing speed,1
What is the function of an antivirus program?,To detect and remove malicious software from a computer,To increase the speed of internet connectivity,To manage internet connectivity,To control the computer's processing speed,1
What is the purpose of an IP address?,To uniquely identify a device on a network,To store and retrieve digital data,To control the computer's processing speed,To provide temporary storage for data,1
What does HTML stand for?,Hypertext Markup Language,Hyperlink and Text Markup Language,High-Level Text Markup Language,Hypertext and Text Markup Language,1
What is a database in the context of computer science?,A structured collection of data,A type of computer virus,A hardware component in a computer,A software application,1
What is the purpose of a computer's power supply?,To convert electrical power into a form usable by the computer,To store and retrieve digital data,To control the computer's processing speed,To manage internet connectivity,1
What is a programming language?,A formal system for instructing a computer,A type of computer virus,A hardware component in a computer,A software application,1
What is cloud computing?,A technology that allows access to computing resources over the internet,A type of computer virus,A hardware component in a computer,A software application,1
What is a computer algorithm?,A step-by-step procedure for solving a problem or accomplishing a task,A type of computer virus,A hardware component in a computer,A software application,1
What is the purpose of a computer's network card?,To enable communication between the computer and a network,To control the computer's processing speed,To store and retrieve digital data,To manage internet connectivity,1
What is object-oriented programming (OOP)?,A programming paradigm based on the concept of objects,A type of computer virus,A hardware component in a computer,A software application,1
What is a computer network topology?,The arrangement of nodes and links in a network,A type of computer virus,A hardware component in a computer,A software application,1
What is a computer server?,A computer system that provides services to other computers on a network,A type of computer virus,A hardware component in a computer,A software application,1
What is the purpose of a computer's sound card?,To generate and process audio signals,To control the computer's processing speed,To store and retrieve digital data,To manage internet connectivity,1
What is the time complexity of the quicksort algorithm in the average case?,O(n log n),O(n^2),O(n),O(log n),1
What is the purpose of the 'grep' command in Unix/Linux?,Search text patterns in files,Copy files,Delete files,Create directories,1
Which programming language was created by Microsoft?,C#,Java,Python,Ruby,1
What is the concept of 'polymorphism' in object-oriented programming?,Ability of a class to take multiple forms,Inheritance of multiple classes,Ability to override a method,Ability to hide a method,1
What is the function of a 'firewall' in computer security?,Monitor and control incoming and outgoing network traffic,Detect and remove viruses,Encrypt files,Manage user access permissions,1
What does the acronym 'SQL' stand for?,Structured Query Language,System Query Language,Sequential Query Language,Structured Question Language,1
Which encryption algorithm is commonly used for securing internet communication (HTTPS)?,TLS/SSL,AES,RSA,MD5,1
What is the purpose of the 'git' version control system?,Manage and track changes in source code,Compile programs,Generate random numbers,Design graphical user interfaces,1
What is a 'buffer overflow' in computer security?,When a program writes more data to a block of memory than it was allocated,A type of malware,A denial-of-service attack,A form of encryption,1
What is the 'halting problem' in theoretical computer science?,Undecidability of determining if an arbitrary computer program will finish running or continue forever,A problem in computer hardware,A limitation of artificial intelligence,A type of optimization algorithm,1
What is 'Moore's Law'?,The observation that the number of transistors on a microchip doubles approximately every two years,A law of physics,A principle of algorithm design,A type of programming language,1
What is the purpose of the 'UDP' (User Datagram Protocol) in networking?,A connectionless protocol for fast data transmission,A secure data transfer protocol,A protocol for email communication,A protocol for file sharing,1
Who is often considered the 'Father of Western Philosophy'?,Socrates,Aristotle,Plato,Thales,3
What is the famous philosophical question posed by René Descartes?,Cogito, ergo sum (I think, therefore I am),Eureka! (I have found,
